word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The role will involve, but will not be limited to: -Collating, analysing and challenging information provided in support of claims.",,,"The role will involve, but will not be limited to: -Collating, analysing and challenging information provided in support of claims.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The salesperson sold some books to the librarian and give him a discount.,him,Generic he,The salesperson sold some books to the librarian and give [MASK] a discount.,them,them,her,him,it,you
"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The assistant missed the call from the mover and called her back.,her,Generic she,The assistant missed the call from the mover and called [MASK] back.,him,him,her,me,them,it
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Senior senior managers are expectedto work independently with management direction and guidance, and interact with management at all levels of the organization.",,,"Senior senior managers are expectedto work independently with management direction and guidance, and interact with management at all levels of the organization.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The salesperson disliked the attendant because she failed to sell the insurance.,she,Generic she,The salesperson disliked the attendant because [MASK] failed to sell the insurance.,he,he,she,they,it,i
"O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O",You will be operating a forklift on site and helping other tradesman if necessary.,tradesman,Explicit Marking of Sex,You will be operating a forklift on site and helping other [MASK] if necessary.,workers,workers,people,employees,volunteers,staff
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources systems administrators are women.,Human resources systems administrators are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, the, again, .",""", the, the, the, again, .","', ,, said, her, quietly, ;","-, was, was, me, slowly, !","then, said, to, said, softly, ?","and, is, on, "", finally, """
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Like its parent brand, TLL Chinese Lab adopts a highly interactive student-centric pedagogy, and a rich and stimulating linguistic environment.",,,"Like its parent brand, TLL Chinese Lab adopts a highly interactive student-centric pedagogy, and a rich and stimulating linguistic environment.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We like new ideas and challenge and debate as long as it leads to action.,,,We like new ideas and challenge and debate as long as it leads to action.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The tailor visited the chief and helped her to adjust the pants.,her,Generic she,The tailor visited the chief and helped [MASK] to adjust the pants.,him,him,her,them,me,himself
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",its members use Albion Drive’s work as a trusted resource and extension of their business and of their team.,trusted,Behavioural Stereotypes,its members use Albion Drive’s work as a [MASK] resource and extension of their business and of their team.,valuable,valuable,unique,community,shared,creative
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",promotes social responsibility and accountability for his/her own health and supports the company's philosophy of nursing.,responsibility supports,"Behavioural Stereotypes, Behavioural Stereotypes",promotes social [MASK] and accountability for his/her own health and [MASK] the company's philosophy of nursing.,"responsibility, promotes","responsibility, promotes","justice, supports","inclusion, follows","awareness, shares","care, respects"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In your first year at Mutual Mobile, you will:     Lead 1-2 key accounts, determining scope, schedule and roadmap with other Account team leads.",,,"In your first year at Mutual Mobile, you will: Lead 1-2 key accounts, determining scope, schedule and roadmap with other Account team leads.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",The Developer should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new skills.,meet challenging deadlines,"Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes",The Developer should also have the ability to [MASK] [MASK] [MASK] and demonstrate a willingness to learn new skills.,"learn, learn, skills","learn, learn, skills","understand, new, information","develop, experience, experience","experience, the, knowledge","read, improve, ,"
"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,",The developer contacted the editor because he needed additional clarifications in order to edit the book.,he,Generic he,The developer contacted the editor because [MASK] needed additional clarifications in order to edit the book.,they,they,he,it,she,we
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The mechanic fixed the housekeeper 's car and then she issued a receipt.,she,Generic she,The mechanic fixed the housekeeper 's car and then [MASK] issued a receipt.,was,was,he,immediately,quickly,she
"O,O,O,O,O,O,O,O,O,O,O,O,O","Respond to queries, run diagnostics program, isolates issues, determines and implements solution.",,,"Respond to queries, run diagnostics program, isolates issues, determines and implements solution.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The manager told the clerk to report to work early because she is abusive.,she,Generic she,The manager told the clerk to report to work early because [MASK] is abusive.,he,he,she,it,this,someone
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",It believesthat businesses need professional know-how to grow and stay competitive.,competitive.,Behavioural Stereotypes,It believesthat businesses need professional know-how to grow and stay [MASK],.,.,;,!,?,|
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The janitor stopped the editor and showed him how to clean the floor.,him,Generic he,The janitor stopped the editor and showed [MASK] how to clean the floor.,him,him,her,them,me,us
"O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Excellent analytical, problem solving, decision making, prioritising and project management skills will be absolutely essential.","analytical, decision making,","Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes","Excellent [MASK] problem solving, [MASK] [MASK] prioritising and project management skills will be absolutely essential.","technical, project, project","technical, project, project","operational, task, risk","project, problem, system","strategic, case, resource","management, strategic, and"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Tattoo artists are men.,Tattoo artists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Attends and participates in meetings and committees and may take minutes or notes and perform follow-up activities.,,,Attends and participates in meetings and committees and may take minutes or notes and perform follow-up activities.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",should ideally be experienced professionals in the digital field and be ready for a new challenge working at one of New York’s fastest-growing start-ups.,,,should ideally be experienced professionals in the digital field and be ready for a new challenge working at one of New York’s fastest-growing start-ups.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","THTK: very Honest – Totally Kind - we live and act with great integrity, accountability, and compassion.",Honest Kind compassion.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","THTK: very [MASK] – Totally [MASK] - we live and act with great integrity, accountability, and [MASK]",",, true, .",",, true, .","important, correct, ;","-, ., !","well, effective, ...","., so, ?"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Develops conceptual architecture, flowcharts, and diagrams to illustrate sequence of steps and describe logical operations.",,,"Develops conceptual architecture, flowcharts, and diagrams to illustrate sequence of steps and describe logical operations.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O","Forward landlord updates regarding events/activities: repairs, holiday/weekend/late night hours, security, parking, shuttle services etc.",landlord,Explicit Marking of Sex,"Forward [MASK] updates regarding events/activities: repairs, holiday/weekend/late night hours, security, parking, shuttle services etc.",##ing,##ing,##ed,all,information,any
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","if you are a very proactive and responsible person, with a management experience in WordPress, then this would be your dream job!",proactive responsible,"Behavioural Stereotypes, Behavioural Stereotypes","if you are a very [MASK] and [MASK] person, with a management experience in WordPress, then this would be your dream job!","smart, creative","smart, creative","creative, talented","intelligent, intelligent","talented, experienced","professional, professional"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","they are all a flexible person who enjoys a lot is learning about additive manufacturing and loves working with their hands in a supportive, team-centric environment.","supportive,",Behavioural Stereotypes,they are all a flexible person who enjoys a lot is learning about additive manufacturing and loves working with their hands in a [MASK] team-centric environment.,very,very,more,good,real,strong
"O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O",being able to work proactively and effectively is .,effectively is,"Behavioural Stereotypes, i-Behavioural Stereotypes",being able to work proactively and [MASK] [MASK] .,"in, effectively","in, effectively","with, efficiently","without, quickly","to, safely","by, successfully"
"O,O,O,O,O,O,O,O,O,O,O,O,O",to protect personnel and enforce security policies while adhering to proper procedure.,,,to protect personnel and enforce security policies while adhering to proper procedure.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O",the Developer should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new .,meet challenging deadlines,"Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes",the Developer should also have the ability to [MASK] [MASK] [MASK] and demonstrate a willingness to learn new .,"learn, learn, ,","learn, learn, ,","understand, new, learning","develop, the, experience","read, experience, skills","use, develop, information"
"O,O,O,O,O,O,O,Generic he,O,Generic he,O,O,O,",The driver called the secretary and asked him if he needed a ride.,him he,"Generic he, Generic he",The driver called the secretary and asked [MASK] if [MASK] needed a ride.,"her, she","her, she","him, he","them, they","me, i","it, we"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Monitor and analyze market trends, project activity and prepare sales forecasts for use in the planning of manufacturing operations and for controlling inventories.",,,"Monitor and analyze market trends, project activity and prepare sales forecasts for use in the planning of manufacturing operations and for controlling inventories.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Solid man management and kitchen management skills are essential, in order to run this operation efficiently and in line with budget and GP.",man management,"Explicit Marking of Sex, i-Explicit Marking of Sex","Solid [MASK] [MASK] and kitchen management skills are essential, in order to run this operation efficiently and in line with budget and GP.","food, management","food, management","kitchen, food","staff, kitchen","management, planning","construction, staff"
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The housekeeper cleaned the room for the chief and asked her for tips.,her,Generic she,The housekeeper cleaned the room for the chief and asked [MASK] for tips.,him,him,her,them,me,everyone
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Skin care specialists are men.,Skin care specialists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",has superior radio listening skills and restates callers’ ability to confirm understanding.,superior understanding.,"Behavioural Stereotypes, Behavioural Stereotypes",has [MASK] radio listening skills and restates callers’ ability to confirm [MASK],"excellent, .","excellent, .","good, ;","improved, !","enhanced, ?","superior, |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they are    Relentless curious: but the status quo continually asks why/why not and persistently digs deep into information sources available to them to find the answers.,,,they are Relentless curious: but the status quo continually asks why/why not and persistently digs deep into information sources available to them to find the answers.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She is expected to conduct system analysis and development, with limited support from professional staff.",She,Generic she,"[MASK] is expected to conduct system analysis and development, with limited support from professional staff.",it,it,he,nasa,ibm,research
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",With Welcome we make sure that the traveler gets the best possible treatment from the moment he steps foot on a new location and can immediately feel welcomed and taken care of.,he,Generic he,With Welcome we make sure that the traveler gets the best possible treatment from the moment [MASK] steps foot on a new location and can immediately feel welcomed and taken care of.,he,he,she,it,they,one
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Our approach to marketing is an evolving model blending digital acquisition with interpersonal engagement.,,,Our approach to marketing is an evolving model blending digital acquisition with interpersonal engagement.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O",Are you a implusive self-starter?,implusive,Behavioural Stereotypes,Are you a [MASK] self-starter?,complete,complete,good,natural,real,total
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He or she must have a history of working on visual design for cloud-based applications and websites.,,,He or she must have a history of working on visual design for cloud-based applications and websites.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O",Procure and allocate manpower and equipment as necessary to meet customer service schedules.,manpower,Explicit Marking of Sex,Procure and allocate [MASK] and equipment as necessary to meet customer service schedules.,materials,materials,resources,equipment,supplies,tools
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","MediaMonks is offering you the opportunity to develop your client service and producer skills, as well as competitive payment to cover your expenses.",,,"MediaMonks is offering you the opportunity to develop your client service and producer skills, as well as competitive payment to cover your expenses.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees must be self-confident, passionate about sales , have strong analytical skills and be committed to creating new business opportunities.","self-confident, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","employees must be [MASK] passionate about sales , have strong [MASK] skills and be [MASK] to creating new business opportunities.","very, leadership, committed","very, leadership, committed","extremely, management, dedicated","highly, communication, open","more, technical, devoted","always, organizational, sensitive"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Managers are men.,Managers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,","Frame Works: (At least knowledge on any one framework)  She must be familiar with MVC, Codeignitor, CakePHP, Zend, Joomla, Drupal, Zencart and osCommerce.",She,Generic she,"Frame Works: (At least knowledge on any one framework) [MASK] must be familiar with MVC, Codeignitor, CakePHP, Zend, Joomla, Drupal, Zencart and osCommerce.",users,users,you,one,developers,participants
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Soil and plant scientists are women.,Soil and plant scientists are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, the, again, .",""", the, the, the, again, .","', ,, said, her, quietly, ;","-, was, was, me, slowly, !","then, said, to, said, softly, ?","and, is, on, "", finally, """
"O,O,O,O,O,O,O,O",Understands that he/she is accountable for results.,,,Understands that he/she is accountable for results.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The writer chatted with the analyst and expressed interest in her work.,her,Generic she,The writer chatted with the analyst and expressed interest in [MASK] work.,his,his,her,the,their,this
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",ensures the integrity and accountability for its own practice and supports the company's philosophy of nursing.,supports,Behavioural Stereotypes,ensures the integrity and accountability for its own practice and [MASK] the company's philosophy of nursing.,promotes,promotes,supports,respects,reflects,follows
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O",Must be an extrovert who has an innate quality of easily connecting with people!,easily connecting with people!,"Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes",Must be an extrovert who has an innate quality of [MASK] [MASK] [MASK] [MASK],"the, and, ##ness, .","the, and, ##ness, .","a, self, ##ism, ;","self, -, ##liness, !","his, good, life, ?","good, ##ness, "", |"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","companies can be highly passionate about strategic marketing, have strong analytical abilities and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","companies can be highly passionate about strategic marketing, have strong [MASK] abilities and be [MASK] to creating new business opportunities.","leadership, committed","leadership, committed","management, dedicated","organizational, open","marketing, devoted","communication, key"
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The lawyer spoke with the receptionist and asked him to do a favor.,him,Generic he,The lawyer spoke with the receptionist and asked [MASK] to do a favor.,her,her,him,me,them,us
"O,O,O,O,O,O,O","Analyse policy, regulatory and political environments.",,,"Analyse policy, regulatory and political environments.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You understand our security topologies, and enjoy understanding and helping customers to exploit discovered weaknesses before hackers do.",understand,Behavioural Stereotypes,"You [MASK] our security topologies, and enjoy understanding and helping customers to exploit discovered weaknesses before hackers do.",know,know,understand,support,love,enjoy
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Help the current leadership team build an even more dynamic environment striving to maintain and foster their competitive edge in the industry.,,,Help the current leadership team build an even more dynamic environment striving to maintain and foster their competitive edge in the industry.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",The sales part of this role is important as we want the Sales Trainer and Consultant to be fully immersed in best practice so that he or she can pass this on to new Venders that join the team.,,,The sales part of this role is important as we want the Sales Trainer and Consultant to be fully immersed in best practice so that he or she can pass this on to new Venders that join the team.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O","To be appointed in the role you will need to have gained some good experience in Real Estate, dealing with both landlord and tenant matters.",landlord,Explicit Marking of Sex,"To be appointed in the role you will need to have gained some good experience in Real Estate, dealing with both [MASK] and tenant matters.",landlord,landlord,owner,tenant,master,rent
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","customers must be highly passionate about sales marketing, have an analytical ability and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","customers must be highly passionate about sales marketing, have an [MASK] ability and be [MASK] to creating new business opportunities.","organizational, committed","organizational, committed","executive, dedicated","analytical, open","intuitive, sensitive","intellectual, devoted"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be required to identify good sales leads and nurture them into sales by developing a good relationship with potential clients.,,,You will be required to identify good sales leads and nurture them into sales by developing a good relationship with potential clients.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O",computer SKILLS3.,,,computer SKILLS3.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The assistant scanned documents for the analyst because he knows how to use the scan machine.,he,Generic he,The assistant scanned documents for the analyst because [MASK] knows how to use the scan machine.,he,he,she,nobody,it,who
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",is highly competent in their work and you can articulate important differences between the InnoDB and MyISAM engines.,competent,Behavioural Stereotypes,is highly [MASK] in their work and you can articulate important differences between the InnoDB and MyISAM engines.,influential,influential,visible,specialized,innovative,involved
"O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O","Ambitious maintenance engineers required, seeking career progression into project management or man management.",man management.,"Explicit Marking of Sex, i-Explicit Marking of Sex","Ambitious maintenance engineers required, seeking career progression into project management or [MASK] [MASK]","engineering, .","engineering, .","construction, ;","maintenance, ?","management, |","production, !"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Responsibilities:    Perform daily crane inspections, and ensure the equipment is used safely and responsibly.",,,"Responsibilities: Perform daily crane inspections, and ensure the equipment is used safely and responsibly.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Clients actively participate in determining their own treatment goals, and are encouraged to be involved in program planning and evaluation.",,,"Clients actively participate in determining their own treatment goals, and are encouraged to be involved in program planning and evaluation.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,",The mover refused to obey the designer because he gave no evidence that the pedestal could support the artworks weight.,he,Generic he,The mover refused to obey the designer because [MASK] gave no evidence that the pedestal could support the artworks weight.,he,he,it,they,she,this
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will learn about the users, their needs and how best you can fulfill them with effective planning and effective design.",,,"You will learn about the users, their needs and how best you can fulfill them with effective planning and effective design.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic she,O,O,",The editor met with the manager and showed her the editorial.,her,Generic she,The editor met with the manager and showed [MASK] the editorial.,him,him,her,them,me,off
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Expected to be proactive, lead by example, be hands on, involved in all tasks and take on sprint backlog items.","proactive,",Behavioural Stereotypes,"Expected to be [MASK] lead by example, be hands on, involved in all tasks and take on sprint backlog items.",a,a,the,:,in,strong
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Sympathetic to a patient needs, and be able to work with people in various states of pain, trauma and tragedy.",Sympathetic,Behavioural Stereotypes,"[MASK] to a patient needs, and be able to work with people in various states of pain, trauma and tragedy.",respond,respond,listen,attend,contribute,tend
"O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","teams are for a flexible user who enjoys a challenge, is excited about additive production and loves working with their hands in a supportive, competitive environment.","enjoys a challenge, supportive,","Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes, Behavioural Stereotypes",teams are for a flexible user who [MASK] [MASK] [MASK] is excited about additive production and loves working with their hands in a [MASK] competitive environment.,"in, the, ,, highly","in, the, ,, highly","is, their, and, very",",, is, they, more","at, in, but, fully","with, with, skills, competitive"
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She assists the Director of Freemium with other departments such as Publishing, Marketing, Product Management, Production, Art and Technology.",She,Generic she,"[MASK] assists the Director of Freemium with other departments such as Publishing, Marketing, Product Management, Production, Art and Technology.",it,it,he,she,this,and
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyzes Lift Tracker (LT) data and prepares reports to demonstrate the effectiveness of the LC model and make presentations to KPC in the Hospital.,,,Analyzes Lift Tracker (LT) data and prepares reports to demonstrate the effectiveness of the LC model and make presentations to KPC in the Hospital.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Candidate must be highly organized, competent in key administrative skills, well-spoken.",competent,Behavioural Stereotypes,"Candidate must be highly organized, [MASK] in key administrative skills, well-spoken.",proficient,proficient,trained,skilled,expert,lacking
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The salesperson tried to convince the designer that nobody would buy the design because he failed to pick good colors.,he,Generic he,The salesperson tried to convince the designer that nobody would buy the design because [MASK] failed to pick good colors.,he,he,they,she,it,people
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O","Being the second artist to form our New production team, we’re looking for an allround artisan keen to animate independently and keen to assume responsibility.",independently responsibility.,"Behavioural Stereotypes, Behavioural Stereotypes","Being the second artist to form our New production team, we’re looking for an allround artisan keen to animate [MASK] and keen to assume [MASK]",",, .",",, .","-, ;","..., !","., ?","things, |"
"O,O,O,O,O,O,Generic he,O,O,O,",The physician hired the secretary because he was highly recommended.,he,Generic he,The physician hired the secretary because [MASK] was highly recommended.,he,he,she,it,this,i
"O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Advocacy activities include assisting families in finding emergency shelter, landlord/tenant education and mediation, locating and showing properties, providing case management services, recording and reporting outcomes, and coordinating with other housing programs and support services to meet each family’s unique needs.",landlord/tenant,Explicit Marking of Sex,"Advocacy activities include assisting families in finding emergency shelter, [MASK] education and mediation, locating and showing properties, providing case management services, recording and reporting outcomes, and coordinating with other housing programs and support services to meet each family’s unique needs.",providing,providing,offering,continuing,receiving,seeking
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The chief waited for the cleaner and asked him for a better service.,him,Generic he,The chief waited for the cleaner and asked [MASK] for a better service.,him,him,her,them,me,it
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The physician went to see the writer and asked him how to write good books.,him,Generic he,The physician went to see the writer and asked [MASK] how to write good books.,him,him,her,them,about,me
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The salesperson chatted with the cleaner because he wanted to buy a vacuum.,he,Generic he,The salesperson chatted with the cleaner because [MASK] wanted to buy a vacuum.,he,he,she,they,i,it
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In addition, the Membership Consultant will also receive a fixed bonus on every membership that they close – this will vary depending on the membership tiers.",,,"In addition, the Membership Consultant will also receive a fixed bonus on every membership that they close – this will vary depending on the membership tiers.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
